OTU	CIMDEC_plaque_1_B25	CIMDEC_plaque_1_B8	CIMDEC_plaque_1_B5	CIMDEC_plaque_1_B6	CIMDEC_plaque_1_B1	CIMDEC_plaque_1_B3	CIMDEC_plaque_1_B27	CIMDEC_plaque_1_B9	CIMDEC_plaque_1_B11	CIMDEC_plaque_1_B2	CIMDEC_plaque_1_B7	CIMDEC_plaque_1_B10	CIMDEC_plaque_1_B4	CIMDEC_plaque_1_B31	CIMDEC_plaque_1_B12	CIMDEC_plaque_1_B29
MW412405.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY752809.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU514295.1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MT373373.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KX833586.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY618232.1	3	0	0	0	0	0	0	160	0	0	0	0	0	3	0	0
KU940129.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG866027.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KX833595.1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
KC851949.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MK442607.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
KJ707106.1	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
MW144762.1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
FJ889450.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MK953363.1	1	0	0	0	0	0	1	24	0	0	0	0	0	1	0	0
FJ430779.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH298851.1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
EF512480.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH414899.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY051852.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MK573877.1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
KJ869133.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF444406.1	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
KF859928.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH411093.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
