OTU,CIMDEC_plaque_1_B8,CIMDEC_plaque_1_B5,CIMDEC_plaque_1_B6,CIMDEC_plaque_1_B1,CIMDEC_plaque_1_B3,CIMDEC_plaque_1_B9,CIMDEC_plaque_1_B11,CIMDEC_plaque_1_B2,CIMDEC_plaque_1_B7,CIMDEC_plaque_1_B10,CIMDEC_plaque_1_B4,CIMDEC_plaque_1_B12,CIMDEC_plaque_1_B29
MN263600.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX525686.1,0,0,0,0,0,4,0,0,0,0,0,0,0
MW191781.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ862765.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF444354.1,0,0,0,0,0,3,0,0,0,0,0,0,0
MH484005.1,0,0,0,0,0,5,0,0,0,0,0,0,0
KY703619.1,0,0,0,0,0,12,0,0,0,0,0,0,3
HQ897830.1,0,0,0,0,0,14,0,0,0,0,0,0,0
KP965485.1,0,0,0,0,0,5,0,0,0,0,0,0,0
MH859510.1,0,0,0,0,0,1,0,0,0,0,0,0,0
GU237794.1,0,0,0,0,0,51,0,0,0,0,0,0,0
OM959577.1,0,0,0,0,0,60,0,0,0,0,0,0,0
MN082417.1,0,0,0,0,0,17,0,0,0,0,0,0,0
MN215703.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW016559.1,0,0,0,0,0,5,0,0,0,0,0,0,0
KJ869114.1,0,0,0,0,0,7,0,0,0,0,0,0,0
AJ301940.1,0,0,0,0,0,1,0,0,0,0,0,0,0
GU237890.1,0,0,0,0,0,4,0,0,0,0,0,0,1
JQ828908.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KX228265.1,0,0,0,0,0,2,0,0,0,0,0,0,0
MN973540.1,0,0,0,0,0,2,0,0,0,0,0,0,0
AF314985.1,0,0,0,0,0,9,0,0,0,0,0,0,0
KX017208.1,0,0,0,0,0,9,0,0,0,0,0,0,0
MH740898.1,0,0,0,0,0,3,0,0,0,0,0,0,0
LC507463.1,0,0,0,0,0,1,0,0,0,0,0,0,0
FJ427049.1,0,0,0,0,0,19,0,0,0,0,0,0,6
MH861763.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MK256970.1,0,0,0,0,0,3,0,0,0,0,0,0,0
MZ509541.1,0,0,0,0,0,11,0,0,0,0,0,0,0
MZ997381.1,0,0,0,0,0,7,0,0,0,0,0,0,0
AF439496.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KF251179.1,0,0,0,0,0,3,0,0,0,0,5,0,0
MG520948.1,0,0,0,0,0,3,0,0,0,0,0,0,0
AY220610.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MG828956.1,0,0,0,0,0,2,0,0,0,0,1,0,0
MH864418.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KR873249.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AF229488.1,0,0,0,0,0,1,0,0,0,0,0,0,0
AB594795.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW723619.1,0,0,0,0,0,4,0,0,0,0,0,0,1
JX118740.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KY090653.1,0,0,0,0,0,2,0,0,0,0,0,0,0
KY285005.1,0,0,0,0,0,2,0,0,0,0,0,0,0
HM562164.1,0,0,0,0,0,1,0,0,0,0,0,0,0
